location_id,date,temperature,humidity,wind_speed,solar_radiation,surface_pressure,rainfall_mm,relative_humidity,heat_index,wbgt,utci,hour,day,month,day_of_year,consecutive_hot_days,temp_lag_1d,temp_lag_2d,temp_lag_3d,wbgt_lag_1d,wbgt_lag_2d,wbgt_lag_3d,cumulative_heat_exposure,population_density,elderly_percentage,outdoor_worker_percentage,children_percentage,mortality_target,hospitalization_target,is_demo_synthetic_target
ahmedabad,2026-05-15,43.0,32.0,3.2,870.0,1002.0,0.0,32.0,50.7,37.1,49.0,0.0,15.0,5.0,135.0,1.0,41.8,41.0,40.0,36.1,35.300000000000004,34.6,8.0,11200.0,8.8,21.0,10.4,38.0,160.0,False
ahmedabad,2026-05-16,44.8,29.0,3.5,910.0,1001.0,0.0,29.0,52.9,38.1,49.5,0.0,16.0,5.0,136.0,2.0,43.0,42.8,41.8,37.1,36.300000000000004,35.6,19.6,11200.0,8.8,21.0,10.4,52.0,215.0,False
ahmedabad,2026-05-17,46.2,26.0,3.8,940.0,1000.0,0.0,26.0,53.8,38.7,49.1,0.0,17.0,5.0,137.0,3.0,44.8,43.0,43.2,38.1,37.1,36.2,33.6,11200.0,8.8,21.0,10.4,70.0,295.0,False
ahmedabad,2026-05-18,47.0,24.0,3.4,960.0,999.0,0.0,24.0,53.9,39.0,49.1,0.0,18.0,5.0,138.0,4.0,46.2,44.8,43.0,38.7,38.1,37.1,48.0,11200.0,8.8,21.0,10.4,88.0,380.0,False
ahmedabad,2026-05-19,45.5,28.0,3.1,900.0,1000.0,0.0,28.0,53.8,38.5,50.3,0.0,19.0,5.0,139.0,5.0,47.0,46.2,44.8,39.0,38.7,38.1,52.5,11200.0,8.8,21.0,10.4,60.0,270.0,False
ahmedabad,2026-05-20,42.0,36.0,3.6,820.0,1002.0,0.0,36.0,50.9,36.8,49.3,0.0,20.0,5.0,140.0,6.0,45.5,47.0,46.2,38.5,39.0,38.7,42.0,11200.0,8.8,21.0,10.4,25.0,120.0,False
delhi,2026-05-15,42.5,35.0,2.8,850.0,998.0,0.0,35.0,51.5,37.2,50.3,0.0,15.0,5.0,135.0,1.0,41.3,40.5,39.5,36.2,35.400000000000006,34.7,7.5,14500.0,8.2,19.4,10.8,42.0,185.0,False
delhi,2026-05-16,44.0,32.0,3.0,900.0,997.0,0.0,32.0,53.2,38.1,50.7,0.0,16.0,5.0,136.0,2.0,42.5,42.0,41.0,37.2,36.300000000000004,35.6,18.0,14500.0,8.2,19.4,10.8,58.0,240.0,False
delhi,2026-05-17,45.8,28.0,2.5,920.0,996.0,0.0,28.0,54.5,38.8,51.3,0.0,17.0,5.0,137.0,3.0,44.0,42.5,42.8,38.1,37.2,36.3,32.4,14500.0,8.2,19.4,10.8,76.0,320.0,False
delhi,2026-05-18,46.5,25.0,3.2,950.0,995.0,0.0,25.0,53.7,38.8,49.4,0.0,18.0,5.0,138.0,4.0,45.8,44.0,42.5,38.8,38.1,37.2,46.0,14500.0,8.2,19.4,10.8,92.0,410.0,False
delhi,2026-05-19,45.0,30.0,3.5,890.0,996.0,0.0,30.0,54.1,38.4,50.5,0.0,19.0,5.0,139.0,5.0,46.5,45.8,44.0,38.8,38.8,38.1,50.0,14500.0,8.2,19.4,10.8,65.0,290.0,False
delhi,2026-05-20,41.0,40.0,4.0,800.0,998.0,0.0,40.0,50.9,36.6,49.3,0.0,20.0,5.0,140.0,6.0,45.0,46.5,45.8,38.4,38.8,38.8,36.0,14500.0,8.2,19.4,10.8,28.0,140.0,False
nagpur,2026-05-15,41.0,38.0,2.0,840.0,1001.0,0.0,38.0,49.6,36.5,50.2,0.0,15.0,5.0,135.0,1.0,39.8,39.0,38.0,35.5,34.7,34.0,6.0,4800.0,9.1,17.2,11.5,22.0,95.0,False
nagpur,2026-05-16,43.2,33.0,2.2,880.0,1000.0,0.0,33.0,51.9,37.6,50.9,0.0,16.0,5.0,136.0,2.0,41.0,41.2,40.2,36.5,35.800000000000004,35.1,16.4,4800.0,9.1,17.2,11.5,35.0,140.0,False
nagpur,2026-05-17,44.5,29.0,2.4,910.0,999.0,0.0,29.0,52.2,38.0,50.2,0.0,17.0,5.0,137.0,3.0,43.2,41.0,41.5,37.6,36.5,35.5,28.5,4800.0,9.1,17.2,11.5,48.0,195.0,False
nagpur,2026-05-18,45.2,27.0,2.8,930.0,998.0,0.0,27.0,52.3,38.1,49.4,0.0,18.0,5.0,138.0,4.0,44.5,43.2,41.0,38.0,37.6,36.5,40.8,4800.0,9.1,17.2,11.5,61.0,260.0,False
nagpur,2026-05-19,43.8,32.0,3.1,870.0,1000.0,0.0,32.0,52.7,37.8,50.3,0.0,19.0,5.0,139.0,5.0,45.2,44.5,43.2,38.1,38.0,37.6,44.0,4800.0,9.1,17.2,11.5,40.0,170.0,False
nagpur,2026-05-20,39.5,42.0,3.4,790.0,1002.0,2.5,42.0,48.1,35.6,48.3,0.0,20.0,5.0,140.0,0.0,43.8,45.2,44.5,37.8,38.1,38.0,0.0,4800.0,9.1,17.2,11.5,15.0,80.0,False
