location_id,date,temperature,humidity,wind_speed,solar_radiation,surface_pressure,rainfall_mm
delhi,2022-03-01,26.9,59.1,3.0,826.2,1001.5,0.0
delhi,2022-03-02,27.4,56.6,2.1,723.1,1000.1,0.4
delhi,2022-03-03,25.4,63.2,1.8,682.7,1004.8,0.1
delhi,2022-03-04,26.8,60.3,2.1,725.0,1003.7,0.1
delhi,2022-03-05,26.4,56.2,3.2,695.6,1002.2,0.4
delhi,2022-03-06,27.3,55.0,1.2,797.0,1000.7,0.2
delhi,2022-03-07,26.8,58.3,2.0,790.6,1003.8,0.7
delhi,2022-03-08,25.9,55.1,3.4,752.8,1000.8,0.2
delhi,2022-03-09,26.5,64.3,2.8,731.1,1002.3,0.7
delhi,2022-03-10,25.6,60.0,2.5,694.1,1003.6,0.4
delhi,2022-03-11,28.1,55.8,1.9,741.6,1003.3,0.8
delhi,2022-03-12,26.8,58.6,3.0,755.5,1000.7,0.3
delhi,2022-03-13,26.7,59.0,1.4,749.0,1000.7,1.4
delhi,2022-03-14,24.7,59.2,3.6,770.7,998.0,0.2
delhi,2022-03-15,26.5,61.5,2.5,714.9,1003.6,0.1
delhi,2022-03-16,28.2,63.3,3.6,731.0,1001.4,0.9
delhi,2022-03-17,26.9,57.6,1.3,780.1,999.1,0.6
delhi,2022-03-18,26.7,58.4,1.8,760.5,1002.3,0.5
delhi,2022-03-19,25.3,62.8,2.7,819.1,998.6,0.6
delhi,2022-03-20,28.2,58.6,3.2,790.4,998.6,0.6
delhi,2022-03-21,26.1,64.0,3.4,742.3,1002.9,0.5
delhi,2022-03-22,27.2,53.7,1.9,828.9,1000.5,0.5
delhi,2022-03-23,26.9,70.5,3.0,743.8,998.8,1.4
delhi,2022-03-24,28.0,56.2,3.1,840.6,1000.2,0.2
delhi,2022-03-25,27.5,60.3,1.8,797.7,1000.9,1.0
delhi,2022-03-26,28.4,53.6,3.6,836.9,999.5,0.8
delhi,2022-03-27,28.0,62.5,3.3,825.9,1000.1,0.2
delhi,2022-03-28,26.6,59.9,2.1,705.6,1001.4,0.4
delhi,2022-03-29,27.6,54.3,1.9,830.6,999.1,0.0
delhi,2022-03-30,29.5,61.2,3.2,799.1,1001.4,0.2
delhi,2022-03-31,26.9,59.2,2.9,843.3,998.1,0.1
delhi,2022-04-01,26.2,64.5,3.5,820.5,1003.8,0.5
delhi,2022-04-02,29.1,53.5,2.9,842.1,998.5,0.3
delhi,2022-04-03,27.9,50.2,1.5,882.2,1003.0,0.0
delhi,2022-04-04,29.2,56.2,1.7,829.8,1000.7,0.0
delhi,2022-04-05,28.3,50.0,3.5,777.6,1004.5,0.4
delhi,2022-04-06,28.5,54.8,2.3,785.3,999.0,0.1
delhi,2022-04-07,29.8,56.7,3.0,780.2,1001.9,0.1
delhi,2022-04-08,28.4,57.9,3.5,783.8,1001.2,1.0
delhi,2022-04-09,28.1,56.2,2.7,815.6,1001.9,0.9
delhi,2022-04-10,28.9,56.1,2.6,846.4,998.4,0.2
delhi,2022-04-11,27.5,61.8,3.0,783.4,999.9,0.4
delhi,2022-04-12,28.0,56.7,2.8,791.8,998.3,0.0
delhi,2022-04-13,29.1,58.6,3.2,879.4,998.9,1.5
delhi,2022-04-14,29.3,62.0,3.2,815.3,999.8,0.0
delhi,2022-04-15,29.1,61.4,3.1,849.6,999.9,0.2
delhi,2022-04-16,33.4,50.0,2.6,788.0,999.7,0.5
delhi,2022-04-17,35.2,52.0,4.0,822.8,1001.6,0.5
delhi,2022-04-18,31.3,50.9,1.9,837.5,1000.3,0.2
delhi,2022-04-19,34.4,51.4,3.7,866.7,999.3,1.0
delhi,2022-04-20,31.5,58.2,2.4,895.2,996.3,0.0
delhi,2022-04-21,33.3,56.1,2.7,819.3,996.3,0.1
delhi,2022-04-22,33.4,45.4,1.3,900.6,1000.1,0.4
delhi,2022-04-23,33.9,49.8,3.4,889.7,999.7,0.3
delhi,2022-04-24,30.9,56.4,3.3,752.1,996.9,1.2
delhi,2022-04-25,29.2,54.3,3.6,890.7,999.9,1.5
delhi,2022-04-26,31.2,53.1,0.8,838.9,996.6,0.0
delhi,2022-04-27,30.8,56.8,2.3,947.8,998.5,0.1
delhi,2022-04-28,29.7,51.3,2.1,786.8,1003.0,0.0
delhi,2022-04-29,30.5,57.7,2.0,811.5,1000.2,0.1
delhi,2022-04-30,27.3,64.5,3.8,837.5,1000.2,0.4
delhi,2022-05-01,28.5,63.3,0.5,811.1,997.1,0.2
delhi,2022-05-02,29.8,58.8,2.5,927.3,999.1,0.4
delhi,2022-05-03,29.5,54.2,2.0,924.8,996.2,0.4
delhi,2022-05-04,27.1,57.4,2.0,813.5,998.9,0.3
delhi,2022-05-05,27.7,59.4,2.7,822.1,997.7,0.6
delhi,2022-05-06,26.2,62.9,2.0,888.5,997.2,0.4
delhi,2022-05-07,27.8,52.2,3.1,804.7,999.2,0.3
delhi,2022-05-08,27.5,57.2,3.3,834.5,1000.3,0.7
delhi,2022-05-09,31.2,46.1,1.7,873.5,998.7,0.1
delhi,2022-05-10,30.5,55.3,2.8,846.1,997.5,0.1
delhi,2022-05-11,31.0,44.7,2.8,854.8,1000.3,0.8
delhi,2022-05-12,28.8,55.4,2.5,953.8,999.1,0.2
delhi,2022-05-13,31.5,49.2,2.7,879.9,999.5,0.2
delhi,2022-05-14,32.8,59.9,2.6,885.7,997.4,0.1
delhi,2022-05-15,33.4,48.5,3.2,939.3,997.4,0.1
delhi,2022-05-16,34.7,53.4,2.8,970.5,996.7,0.1
delhi,2022-05-17,35.5,43.2,0.6,887.4,1003.4,0.5
delhi,2022-05-18,35.9,47.0,1.9,903.6,1001.9,0.3
delhi,2022-05-19,36.3,45.2,3.1,1008.6,999.1,0.3
delhi,2022-05-20,35.9,39.5,3.2,887.0,995.4,0.7
delhi,2022-05-21,37.2,39.7,2.4,884.7,995.3,0.3
delhi,2022-05-22,39.9,44.7,2.3,831.3,1003.0,0.0
delhi,2022-05-23,38.4,43.2,2.4,859.7,996.8,0.0
delhi,2022-05-24,38.1,43.3,2.3,965.2,992.5,0.0
delhi,2022-05-25,36.9,43.3,2.2,821.3,996.2,0.5
delhi,2022-05-26,39.6,37.5,2.4,894.8,996.3,0.0
delhi,2022-05-27,39.0,43.5,1.7,877.5,997.2,0.0
delhi,2022-05-28,39.2,42.2,3.8,846.3,996.3,0.0
delhi,2022-05-29,40.6,34.1,1.8,964.1,994.0,0.0
delhi,2022-05-30,39.8,31.6,1.1,872.8,999.4,0.0
delhi,2022-05-31,39.5,49.4,3.0,870.5,996.6,0.0
delhi,2022-06-01,36.2,47.9,4.1,939.2,996.5,0.0
delhi,2022-06-02,38.3,49.2,3.3,813.0,994.8,0.0
delhi,2022-06-03,37.4,41.0,2.6,868.9,996.1,0.2
delhi,2022-06-04,35.5,49.0,1.1,1012.4,996.6,1.4
delhi,2022-06-05,35.4,47.4,4.5,905.2,999.5,0.1
delhi,2022-06-06,35.2,55.1,2.5,833.8,996.3,0.9
delhi,2022-06-07,35.8,40.0,1.9,901.0,997.0,0.1
delhi,2022-06-08,35.0,50.8,3.0,979.3,999.2,0.9
delhi,2022-06-09,35.1,48.2,2.7,852.8,994.8,1.3
delhi,2022-06-10,34.4,46.5,3.2,848.1,998.0,0.1
delhi,2022-06-11,35.8,42.7,2.4,898.0,999.8,0.2
delhi,2022-06-12,34.9,42.3,3.0,957.3,996.9,0.8
delhi,2022-06-13,37.1,42.9,2.1,996.0,1000.0,0.1
delhi,2022-06-14,34.3,44.5,1.7,828.3,994.3,0.6
delhi,2022-06-15,35.4,49.6,1.6,945.8,997.0,0.5
delhi,2022-06-16,36.1,43.8,2.0,956.1,995.4,0.2
delhi,2022-06-17,35.8,48.2,2.1,961.6,997.0,0.4
delhi,2022-06-18,37.5,42.3,3.0,958.8,998.7,0.4
delhi,2022-06-19,36.7,42.0,2.5,1023.1,995.5,1.0
delhi,2022-06-20,38.1,47.7,2.8,1001.2,994.2,0.0
delhi,2022-06-21,40.0,41.2,3.2,957.8,997.2,0.0
delhi,2022-06-22,41.6,41.6,3.7,905.9,997.3,0.0
delhi,2022-06-23,40.9,40.6,2.8,960.0,995.8,0.0
delhi,2022-06-24,41.0,38.6,2.6,979.3,993.5,0.0
delhi,2022-06-25,43.6,33.0,2.9,945.7,998.6,0.0
delhi,2022-06-26,44.5,32.5,2.2,926.9,996.5,0.0
delhi,2022-06-27,44.4,33.9,2.8,920.4,995.8,0.0
delhi,2022-06-28,46.6,23.3,2.2,886.8,995.7,0.0
delhi,2023-03-01,27.5,64.0,2.3,692.7,1001.8,0.5
delhi,2023-03-02,25.7,61.3,2.7,739.6,1002.7,0.1
delhi,2023-03-03,27.4,57.5,2.9,751.9,1002.4,0.7
delhi,2023-03-04,26.9,62.2,3.6,764.8,1003.3,0.8
delhi,2023-03-05,26.8,56.8,1.4,740.9,1000.3,0.4
delhi,2023-03-06,25.8,59.5,1.0,735.7,996.9,0.5
delhi,2023-03-07,26.8,61.7,2.5,731.4,1001.2,2.2
delhi,2023-03-08,25.3,68.1,3.2,750.6,1001.7,0.2
delhi,2023-03-09,26.3,60.2,2.4,726.7,1002.0,0.6
delhi,2023-03-10,27.1,64.9,3.2,768.0,1000.3,0.6
delhi,2023-03-11,26.0,65.4,2.6,814.2,1001.1,0.5
delhi,2023-03-12,26.8,57.2,2.1,752.3,1002.3,1.9
delhi,2023-03-13,27.3,63.6,4.9,765.2,999.5,2.8
delhi,2023-03-14,26.8,62.3,1.7,758.8,998.0,1.0
delhi,2023-03-15,24.9,59.0,1.3,873.4,1001.1,1.0
delhi,2023-03-16,27.7,61.1,1.2,848.8,1004.0,0.7
delhi,2023-03-17,27.1,58.2,1.2,774.1,1000.9,0.4
delhi,2023-03-18,25.1,60.9,1.6,713.6,1003.5,0.7
delhi,2023-03-19,24.8,63.8,2.3,841.7,1002.4,0.6
delhi,2023-03-20,26.6,58.8,4.2,800.8,1001.9,0.4
