location_id,date,mortality_target,hospitalization_target
delhi,2026-05-15,42.0,185.0
delhi,2026-05-16,58.0,240.0
delhi,2026-05-17,76.0,320.0
delhi,2026-05-18,92.0,410.0
delhi,2026-05-19,65.0,290.0
delhi,2026-05-20,28.0,140.0
nagpur,2026-05-15,22.0,95.0
nagpur,2026-05-16,35.0,140.0
nagpur,2026-05-17,48.0,195.0
nagpur,2026-05-18,61.0,260.0
nagpur,2026-05-19,40.0,170.0
nagpur,2026-05-20,15.0,80.0
ahmedabad,2026-05-15,38.0,160.0
ahmedabad,2026-05-16,52.0,215.0
ahmedabad,2026-05-17,70.0,295.0
ahmedabad,2026-05-18,88.0,380.0
ahmedabad,2026-05-19,60.0,270.0
ahmedabad,2026-05-20,25.0,120.0
