location_id,date,temperature,humidity,wind_speed,solar_radiation,surface_pressure,rainfall_mm
delhi,2026-05-15,42.5,35.0,2.8,850.0,998.0,0.0
delhi,2026-05-16,44.0,32.0,3.0,900.0,997.0,0.0
delhi,2026-05-17,45.8,28.0,2.5,920.0,996.0,0.0
delhi,2026-05-17,45.8,28.0,2.5,920.0,996.0,0.0
delhi,2026-05-18,46.5,25.0,3.2,950.0,995.0,0.0
delhi,2026-05-19,45.0,30.0,3.5,890.0,996.0,0.0
delhi,2026-05-20,41.0,40.0,4.0,800.0,998.0,0.0
nagpur,2026-05-15,41.0,38.0,2.0,840.0,1001.0,0.0
nagpur,2026-05-16,43.2,33.0,2.2,880.0,1000.0,0.0
nagpur,2026-05-17,44.5,29.0,2.4,910.0,999.0,0.0
nagpur,2026-05-18,45.2,27.0,2.8,930.0,998.0,0.0
nagpur,2026-05-19,43.8,32.0,3.1,870.0,1000.0,0.0
nagpur,2026-05-20,39.5,42.0,3.4,790.0,1002.0,2.5
ahmedabad,2026-05-15,43.0,32.0,3.2,870.0,1002.0,0.0
ahmedabad,2026-05-16,44.8,29.0,3.5,910.0,1001.0,0.0
ahmedabad,2026-05-17,46.2,26.0,3.8,940.0,1000.0,0.0
ahmedabad,2026-05-18,47.0,24.0,3.4,960.0,999.0,0.0
ahmedabad,2026-05-19,45.5,28.0,3.1,900.0,1000.0,0.0
ahmedabad,2026-05-20,42.0,36.0,3.6,820.0,1002.0,0.0
